concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
2100000001,3004249,Maps to,20240101,20991231,
2100000001,3027018,Maps to,20240101,20991231,
2100000002,3004249,Maps to,20240101,20991231,
2100000002,3027018,Maps to,20240101,20991231,
2100000003,3023166,Maps to,20240101,20991231,
2100000004,3004249,Maps to,20240101,20991231,
2100000004,3018586,Maps to,20240101,20991231,
2100000004,3018587,Maps to,20240101,20991231,
2100000005,4214956,Maps to,20240101,20991231,
2100000006,4214956,Maps to,20240101,20991231,
